kai,datetime,Tem,DO,Sal,Chl.a
OSK,2002-02-12 09:07:00,8.42,9.9,32.02,8.3
KIS,2002-02-12 09:45:00,10.67,8.7,33.51,0.8
OSK,2002-02-12 10:26:00,8.12,11.2,31.29,11.7
KIS,2002-02-12 11:02:00,9.75,9.1,33.37,0.8
KIS,2002-02-12 12:19:00,8.78,9.7,32.77,2.1
KIS,2002-02-12 13:55:00,10.3,9,33.34,0.3
OSK,2002-02-12 14:15:00,8.21,12.9,29.99,24.8
OSK,2002-02-13 09:57:00,8.46,9.9,32.27,4.8
KIS,2002-02-13 10:25:00,10.83,9.5,33.27,1.9
KIS,2002-02-13 11:13:00,11.47,8.8,33.76,0.5
OSK,2002-02-13 11:18:00,8.38,10.7,32.06,5.1
OSK,2002-02-13 15:24:00,8.53,10.9,31.83,4.5
OSK,2002-02-15 09:08:00,8.59,9.5,32.48,2.7
HRS,2002-02-15 10:40:00,10.24,8.6,32.6,3.8
HRS,2002-02-15 11:55:00,10.55,9,32.77,6.4
OSK,2002-02-15 14:19:00,8.7,10.2,32.29,3.7
OSK,2002-02-18 09:23:00,9.32,8.8,32.54,0.3
AKI,2002-02-18 10:30:00,10.93,8.3,33.59,1
OSK,2002-02-18 10:38:00,9.41,8.7,32.61,0.2
OSK,2002-02-18 11:58:00,9.78,8.7,32.7,0.2
AKI,2002-02-18 13:34:00,10.81,8.4,33.56,1.2
KIS,2002-02-18 13:37:00,10.01,8.8,32.81,0.3
AKI,2002-02-18 14:14:00,10.81,8.5,33.59,1.3
AKI,2002-02-18 14:59:00,10.97,8.4,33.6,0.8
HIU,2002-02-19 09:31:00,10.55,8.4,33.65,3.7
HRS,2002-02-19 09:38:00,10.87,9,33.44,3.7
HAR,2002-02-19 09:51:00,8.41,9.9,32.58,3.2
HRS,2002-02-19 10:23:00,10.55,9.3,33.1,5.4
HIU,2002-02-19 10:39:00,9.75,8.9,33.37,3.8
HAR,2002-02-19 10:50:00,8.42,9.9,32.71,5.6
HRS,2002-02-19 11:26:00,10.67,9.4,33.18,3.8
HIU,2002-02-19 11:50:00,9.42,9.1,33.4,3
HRS,2002-02-19 14:21:00,11.0,8.8,33.48,2
HIU,2002-02-19 14:34:00,10.91,8.3,33.64,3
HAR,2002-02-19 15:14:00,8.39,10.3,32.6,6.7
HAR,2002-02-19 16:11:00,8.53,9.9,32.85,3.5
KIS,2002-02-20 09:17:00,10.37,8.5,32.97,0.3
HRS,2002-02-20 09:39:00,10.92,9.3,33.49,3.7
HIU,2002-02-20 09:51:00,10.39,8.5,33.64,0.9
AKI,2002-02-20 10:21:00,11.09,9.1,33.56,2.2
KIS,2002-02-20 10:30:00,11.01,8.5,33.25,0.3
HIU,2002-02-20 10:58:00,10.24,8.8,33.42,0.1
HIU,2002-02-20 11:00:00,9.82,9.4,33.48,1
AKI,2002-02-20 11:35:00,11.22,8.7,33.65,0.6
KIS,2002-02-20 11:45:00,11.24,8.2,33.27,0.1
HAR,2002-02-20 12:31:00,8.81,9.1,32.97,1.1
KIS,2002-02-20 12:32:00,10.05,8.6,32.8,0.1
HIU,2002-02-20 12:42:00,10.2,8.8,33.6,0.8
HIU,2002-02-20 13:21:00,10.2,8.9,33.41,0.1
AKI,2002-02-20 13:44:00,10.67,10,33.53,3.3
HIU,2002-02-20 14:07:00,9.63,9.1,33.18,0.1
AKI,2002-02-20 14:19:00,10.8,9.8,33.27,2.5
HIU,2002-02-20 14:42:00,10.52,8.7,33.58,0.9
HIU,2002-02-20 15:12:00,9.44,9.1,33.13,0.1
HAR,2002-02-20 16:04:00,8.65,9.7,32.9,1.6
BS1,2002-02-21 09:41:00,9.62,9,33.36,0.1
HAR,2002-02-21 10:03:00,8.63,9.8,33.48,0.8
KIS,2002-02-21 10:33:00,11.03,9,33.25,0.3
BS1,2002-02-21 11:31:00,10.64,9,33.44,0.1
HAR,2002-02-21 11:37:00,8.61,10,33.2,0.5
KIS,2002-02-21 11:46:00,13.05,8.3,33.82,0.1
HAR,2002-02-21 13:01:00,8.89,9.7,33.39,0.3
HAR,2002-02-21 14:04:00,9.0,10.2,32.9,1.1
HAR,2002-02-21 14:08:00,9.01,9.6,33.56,0.3
BS1,2002-02-21 14:36:00,10.13,9.2,33.35,0.1
HAR,2002-02-21 15:03:00,9.35,10,32.9,1.9
BS1,2002-02-21 15:33:00,10.05,9.3,33.33,0.1
HAR,2002-02-21 16:11:00,9.04,10,32.88,0.5
BS1,2002-02-22 08:23:00,9.31,8.8,33.2,0.1
BS1,2002-02-22 09:47:00,9.42,9.7,33.28,0.1
BS1,2002-02-22 11:40:00,9.8,9,33.33,0.1
BS1,2002-02-22 13:46:00,10.11,9.1,33.34,0.1
AKI,2002-02-25 10:49:00,11.13,8.7,33.69,1.1
BS2,2002-02-25 11:32:00,9.23,9.3,32.9,0.1
AKI,2002-02-25 12:04:00,11.25,8.8,33.73,0.8
AKI,2002-02-25 12:51:00,11.49,8.8,33.81,0.6
BS2,2002-02-25 14:02:00,9.52,9.1,33.04,0.1
BS2,2002-02-25 15:13:00,9.48,9,33.14,0.1
HAR,2002-02-25 15:16:00,9.2,9.5,32.92,0.8
BS2,2002-02-26 08:47:00,9.5,8.7,33.19,0.1
IY2,2002-02-26 09:36:00,11.4,8.4,33.79,1.4
HAR,2002-02-26 09:53:00,8.59,9.4,32.55,2.4
BS2,2002-02-26 10:19:00,9.34,9,32.88,0.1
HAR,2002-02-26 10:30:00,8.62,9.7,32.67,3.5
IY2,2002-02-26 10:58:00,11.32,8.6,33.7,0.9
IY2,2002-02-26 12:16:00,11.44,8.5,33.78,1
IY2,2002-02-26 13:31:00,11.58,8.7,33.92,1.5
BS2,2002-02-26 14:01:00,9.02,9.4,32.73,0.1
BS2,2002-02-26 15:15:00,9.33,9.2,32.78,0.1
HAR,2002-02-26 15:35:00,8.88,10.3,32.71,1.9
HAR,2002-02-27 14:16:00,9.19,10.5,31.94,4.8
HAR,2002-02-27 15:10:00,8.91,10,32.78,3.2
KIS,2002-05-13 09:02:00,21.77,6.7,34.6,0.3
OSK,2002-05-13 09:18:00,16.36,8.7,30.06,3.3
KIS,2002-05-13 09:49:00,18.01,7.5,33.38,0.5
AKI,2002-05-13 09:49:00,15.28,7.9,33.51,1
OSK,2002-05-13 10:29:00,16.24,7.9,31.42,6.4
AKI,2002-05-13 10:38:00,15.25,8.1,33.4,1.3
KIS,2002-05-13 11:01:00,22.05,6.5,34.64,0.3
AKI,2002-05-13 11:52:00,15.31,7.9,33.34,1.4
KIS,2002-05-13 12:20:00,21.49,6.6,34.39,0.3
KIS,2002-05-13 13:34:00,22.14,6.6,34.64,0.4
KIS,2002-05-13 14:37:00,21.33,6.8,34.36,0.1
OSK,2002-05-13 15:38:00,18.26,12.4,25.5,14.5
KIS,2002-05-14 08:34:00,17.38,7,33.17,0.8
OSK,2002-05-14 09:29:00,16.38,8.3,32.44,2.6
IY2,2002-05-14 09:37:00,14.99,8.1,33.5,1.1
KIS,2002-05-14 09:51:00,21.52,6.8,34.43,0.1
OSK,2002-05-14 10:16:00,17.4,11.8,30.56,8.9
IY2,2002-05-14 11:01:00,15.04,8.1,33.36,1.2
OSK,2002-05-14 11:18:00,17.52,8.5,32.27,0.8
IY2,2002-05-14 12:19:00,15.81,8.2,33.51,1.2
HAR,2002-05-14 12:29:00,17.58,8.7,32.73,0.8
IY2,2002-05-14 13:35:00,15.76,8.4,33.46,1.4
HAR,2002-05-14 13:37:00,17.62,8.3,32.66,0.3
HAR,2002-05-14 14:50:00,16.78,8.9,32.72,0.5
OSK,2002-05-15 08:23:00,18.48,7.1,33.55,0.6
OSK,2002-05-15 09:37:00,17.73,7.1,33.35,0.9
OSK,2002-05-15 09:38:00,16.53,7.5,32.71,1.3
HAR,2002-05-15 10:14:00,17.56,8.4,32.63,0.3
OSK,2002-05-15 10:50:00,16.57,7.5,32.7,1.5
KIS,2002-05-15 13:56:00,16.06,7.9,32.98,0.8
OSK,2002-05-15 14:00:00,16.73,9.4,32.41,5.7
KIS,2002-05-15 14:41:00,18.82,8.4,33.49,0.3
KIS,2002-05-20 09:22:00,19.98,7.5,34.15,0.3
AKI,2002-05-20 10:37:00,16.2,8.4,33.05,1.5
KIS,2002-05-20 10:45:00,20.06,7.4,34.08,0.1
AKI,2002-05-20 11:25:00,16.67,8,32.91,1.7
BS2,2002-05-20 11:52:00,17.43,7.9,31.73,0.1
KIS,2002-05-20 12:01:00,19.45,7.7,31.99,1.1
AKI,2002-05-20 13:40:00,17.05,8.2,32.58,2.4
BS2,2002-05-20 14:07:00,16.88,7.6,31.51,0.1
BS2,2002-05-20 15:20:00,16.46,7.4,31.63,0.1
AKI,2002-05-20 15:40:00,16.65,8.1,33.04,1.1
BS2,2002-05-21 08:41:00,17.06,7.6,31.42,0.1
AKI,2002-05-21 08:50:00,16.26,8,32.85,3.6
KIS,2002-05-21 09:54:00,18.09,7.4,33.51,1.3
BS2,2002-05-21 10:04:00,16.87,7.5,30.16,0.1
AKI,2002-05-21 10:40:00,16.51,8.5,33.13,0.6
HAR,2002-05-21 10:55:00,18.34,9.7,30.51,1.7
AKI,2002-05-21 11:20:00,16.35,8.3,33.06,1
BS2,2002-05-21 11:42:00,18.15,8.5,30.58,0.1
BS2,2002-05-21 14:38:00,17.29,7.7,30.5,0.1
AKI,2002-05-21 15:02:00,17.26,8.5,32.48,2.5
HAR,2002-05-21 16:04:00,17.76,9,31.4,1.8
HAR,2002-05-21 17:06:00,17.4,8.7,31.67,1.6
HRS,2002-05-22 13:50:00,17.26,15.7,31.84,0.6
HRS,2002-05-22 14:30:00,16.47,15,32.98,0.6
HAR,2002-05-22 15:00:00,18.05,8.8,31.3,1.8
HAR,2002-05-22 16:01:00,18.1,8.7,31.52,0.7
HAR,2002-05-22 16:40:00,18.08,8.3,32.25,1
HRS,2002-05-23 08:25:00,18.03,9.9,31.13,6.1
HRS,2002-05-23 09:40:00,17.17,10,30.13,5.2
HRS,2002-05-23 10:40:00,17.47,10.4,30.55,3.7
HRS,2002-05-23 11:40:00,16.43,9,32.77,1.7
HAR,2002-05-24 08:55:00,17.07,8,32.25,0.6
HAR,2002-05-24 09:49:00,17.1,8.3,32.31,2.2
HAR,2002-05-24 10:31:00,18.06,9.1,32.08,2.6
HAR,2002-05-24 14:56:00,18.41,8.5,32.37,0.8
HAR,2002-05-24 15:56:00,19.01,8.5,32.15,0.6
HAR,2002-05-27 09:35:00,18.38,8.4,31.09,2
HAR,2002-05-27 10:14:00,19.15,9.4,30.74,2.6
HIU,2002-05-27 13:29:00,19.84,8.2,31.96,0.1
HIU,2002-05-27 14:16:00,21.9,8.3,32.01,0.1
HAR,2002-05-27 14:50:00,17.15,8.6,31.98,1.3
HIU,2002-05-27 15:29:00,21.4,8.1,32.05,0.1
HAR,2002-05-27 15:46:00,18.85,8.3,32.16,1.3
BS1,2002-05-28 08:26:00,18.25,10,31.85,0.1
HIU,2002-05-28 09:26:00,21.25,8.1,32.37,1.4
BS1,2002-05-28 09:39:00,18.38,8.8,31.69,0.1
HIU,2002-05-28 10:32:00,21.05,7.8,32.49,2.9
HIU,2002-05-28 11:40:00,22.25,8.2,32.24,2.6
HIU,2002-05-28 12:49:00,20.63,8,32.4,1.3
BS1,2002-05-28 13:17:00,19.02,9.2,31.64,0.3
BS1,2002-05-28 14:16:00,19.94,10.2,32.04,0.1
HIU,2002-05-29 08:55:00,17.64,7.8,33.0,2.1
BS1,2002-05-29 09:38:00,18.17,8.9,32.07,0.1
HIU,2002-05-29 10:02:00,20.31,8,32.51,1.2
HIU,2002-05-29 11:09:00,19.57,8.1,32.6,2.3
HIU,2002-05-29 13:07:00,18.8,7.7,32.78,1.4
BS1,2002-05-29 13:28:00,21.57,9.7,32.08,0.1
BS1,2002-05-29 15:12:00,19.76,9.9,32.19,0.1
BS1,2002-05-29 16:15:00,18.61,9.4,32.3,0.1
HRS,2002-08-19 09:53:00,25.18,6.5,32.74,1
HRS,2002-08-19 10:58:00,25.85,6.4,31.5,3.7
HRS,2002-08-19 13:34:00,25.47,6.4,31.76,4.9
HRS,2002-08-19 14:48:00,26.81,6.5,31.58,2.9
AKI,2002-08-20 09:33:00,25.65,6.7,32.86,1.1
KIS,2002-08-20 09:34:00,26.33,5.9,33.0,3.2
AKI,2002-08-20 10:16:00,26.29,6.4,32.77,1.6
AKI,2002-08-20 10:53:00,26.65,6.3,32.71,1.7
OSK,2002-08-20 12:02:00,26.71,6.1,32.64,4.6
OSK,2002-08-20 13:22:00,27.03,6.6,32.04,3.7
AKI,2002-08-20 14:07:00,25.61,6.4,32.85,1.1
OSK,2002-08-20 14:14:00,26.65,6,32.84,2.6
AKI,2002-08-20 15:07:00,25.82,6.9,32.72,5.4
KIS,2002-08-21 08:25:00,25.19,6.1,33.88,1.6
KIS,2002-08-21 09:38:00,25.8,5.9,33.3,3.3
IY2,2002-08-21 09:40:00,24.03,6.4,33.08,1.5
HRS,2002-08-21 09:40:00,24.79,6.6,32.52,1.6
KIS,2002-08-21 10:48:00,26.33,5.7,33.72,0.3
KIS,2002-08-21 10:51:00,25.63,6.2,33.9,1.6
IY2,2002-08-21 11:01:00,24.67,6.2,32.85,1.1
HRS,2002-08-21 11:10:00,25.36,6.6,32.7,0.5
IY2,2002-08-21 12:17:00,24.34,6.4,33.04,1.6
IY2,2002-08-21 13:34:00,24.09,6.9,33.12,3.1
KIS,2002-08-21 13:40:00,24.66,5.9,34.28,2.2
AKI,2002-08-21 13:55:00,25.29,6.6,32.95,1.4
HRS,2002-08-21 14:33:00,25.0,6.7,32.91,1.5
KIS,2002-08-21 14:58:00,26.28,5.9,33.23,0.5
KIS,2002-08-22 08:56:00,25.92,6.5,33.38,2.6
KIS,2002-08-22 09:24:00,26.08,6.5,33.58,1.3
KIS,2002-08-22 10:08:00,25.77,6.2,33.44,2.4
KIS,2002-08-22 10:12:00,26.08,6.5,33.64,1.1
AKI,2002-08-22 11:02:00,25.36,6.7,32.91,1.3
KIS,2002-08-22 11:20:00,26.42,6.1,34.21,1.7
KIS,2002-08-22 11:32:00,25.63,6.7,34.22,1.3
AKI,2002-08-22 13:27:00,25.9,6.5,32.83,2.1
AKI,2002-08-23 09:42:00,24.27,6.5,33.07,1.9
KIS,2002-08-23 10:26:00,26.0,5.1,33.46,0.8
AKI,2002-08-23 10:27:00,25.11,6.4,32.92,1.6
AKI,2002-08-23 11:39:00,25.41,6.3,32.89,1.6
HIU,2002-08-26 10:25:00,27.23,6.8,32.4,0.1
HIU,2002-08-26 11:31:00,27.5,6.8,32.43,0.1
HIU,2002-08-26 13:16:00,28.75,7.6,32.21,0.1
HAR,2002-08-26 13:21:00,27.22,6.2,32.35,1.6
HIU,2002-08-26 14:23:00,28.07,7.3,32.37,0.1
HAR,2002-08-26 15:16:00,27.47,6.2,32.44,1.2
HAR,2002-08-26 16:37:00,27.19,6.3,32.2,1.8
BS1,2002-08-27 09:21:00,27.08,5.3,32.32,0.1
HIU,2002-08-27 09:24:00,27.68,7.1,32.33,4.8
BS1,2002-08-27 11:15:00,27.89,7.1,32.45,0.1
HIU,2002-08-27 11:37:00,28.41,7.3,32.4,1
HIU,2002-08-27 12:44:00,28.21,7,32.64,1.1
HAR,2002-08-27 13:12:00,27.12,7.1,32.02,9.2
BS1,2002-08-27 14:42:00,27.56,7.1,32.39,0.1
HAR,2002-08-27 15:00:00,27.01,6.7,32.33,3.5
BS1,2002-08-27 15:39:00,27.4,6.7,32.31,0.2
HAR,2002-08-27 16:13:00,27.2,6.7,32.4,1.6
BS1,2002-08-28 08:10:00,27.64,5.9,32.13,0.1
HIU,2002-08-28 08:56:00,26.72,6.2,32.65,5.2
HAR,2002-08-28 09:13:00,26.75,5.7,32.48,1.7
BS1,2002-08-28 09:16:00,27.67,5.9,32.07,0.1
HAR,2002-08-28 10:03:00,26.57,5.6,32.67,1.5
HIU,2002-08-28 10:05:00,27.39,6.5,32.63,1.8
HAR,2002-08-28 10:50:00,26.78,6.1,32.61,2.5
HIU,2002-08-28 11:09:00,27.82,6.9,32.67,2
BS1,2002-08-28 11:09:00,27.8,6.2,32.15,0.3
HIU,2002-08-28 13:04:00,27.33,7.1,32.68,3.5
HAR,2002-08-28 15:06:00,27.07,6.5,32.39,1.2
HAR,2002-08-28 16:23:00,27.18,6.7,32.38,0.9
HAR,2002-08-29 10:44:00,26.91,5.9,32.25,2.9
HAR,2002-08-29 13:28:00,27.42,7.3,32.11,3
HAR,2002-08-29 14:44:00,27.02,6.7,32.36,1.9
HAR,2002-08-29 16:06:00,26.69,6,32.6,1.8
OSK,2002-09-03 09:36:00,26.59,6.3,32.79,2.5
OSK,2002-09-03 10:44:00,27.83,8.8,31.77,8.1
BS2,2002-09-03 11:15:00,27.61,8.4,32.03,0.1
BS2,2002-09-03 13:53:00,27.88,8.4,31.96,0.2
BS2,2002-09-03 15:11:00,27.75,7.7,32.0,0.2
OSK,2002-09-03 15:13:00,27.38,7,32.94,2.2
BS2,2002-09-04 08:34:00,27.69,6.9,32.14,0.1
OSK,2002-09-04 09:40:00,26.66,6.1,32.85,1.4
BS2,2002-09-04 10:03:00,27.8,8.8,31.48,0.3
BS2,2002-09-04 11:44:00,28.49,8.9,32.04,0.1
BS2,2002-09-04 14:44:00,28.64,10,31.68,0.1
OSK,2002-09-04 16:02:00,26.69,6.1,32.88,1.4
OSK,2002-09-05 09:32:00,27.46,6.9,32.23,1.9
OSK,2002-09-05 13:06:00,28.98,8.7,31.88,3.8
OSK,2002-09-05 14:29:00,28.26,7.9,29.97,46
HAR,2002-09-10 11:25:00,27.0,5.2,33.13,1.3
HAR,2002-09-10 13:18:00,27.19,5.4,33.19,0.8
HAR,2002-09-10 14:34:00,27.42,6,33.11,1.9
HAR,2002-09-10 15:46:00,27.98,6.2,32.75,2.7
KIS,2002-10-15 08:27:00,24.02,6.2,33.46,2.3
OSK,2002-10-15 09:15:00,23.11,9.4,31.73,5.8
KIS,2002-10-15 09:33:00,24.74,5.9,34.02,1.4
HAR,2002-10-15 10:25:00,24.31,6,33.16,1.3
KIS,2002-10-15 10:29:00,24.22,6.3,33.62,2.2
AKI,2002-10-15 10:30:00,24.03,5.9,33.25,1.4
AKI,2002-10-15 11:22:00,24.14,6,33.17,1.4
KIS,2002-10-15 11:50:00,24.15,6.5,33.63,3.6
HAR,2002-10-15 12:30:00,24.09,6,33.05,1.1
AKI,2002-10-15 12:35:00,24.25,5.8,33.12,1.2
OSK,2002-10-15 13:22:00,23.72,11.5,31.51,10
HAR,2002-10-15 13:52:00,24.47,6,33.13,1.1
HAR,2002-10-15 15:03:00,24.49,5.6,32.85,1.6
KIS,2002-10-16 08:43:00,24.11,6.6,33.57,3.1
IY2,2002-10-16 09:38:00,23.94,8.9,33.29,1
AKI,2002-10-16 09:53:00,24.06,6.4,33.12,1.8
OSK,2002-10-16 10:09:00,23.77,8,33.21,6.1
OSK,2002-10-16 10:12:00,23.95,6.8,32.93,3.5
AKI,2002-10-16 10:41:00,24.19,6.4,33.08,1.7
IY2,2002-10-16 10:57:00,23.93,5.9,33.17,1
OSK,2002-10-16 11:01:00,23.61,7.6,32.5,3.9
AKI,2002-10-16 11:22:00,24.22,6.4,33.06,1.7
OSK,2002-10-16 11:24:00,23.86,7.4,32.95,6.9
IY2,2002-10-16 12:10:00,24.01,5.6,33.31,0.9
OSK,2002-10-16 12:13:00,23.96,6.7,33.3,2.2
IY2,2002-10-16 13:22:00,24.02,5.8,33.28,1.2
OSK,2002-10-16 14:37:00,23.89,8.2,32.66,6.2
AKI,2002-10-16 14:40:00,24.15,6.3,33.14,1.4
AKI,2002-10-17 08:55:00,23.96,6.3,32.87,1.9
OSK,2002-10-17 09:53:00,23.88,6.9,32.91,3.2
KIS,2002-10-17 10:18:00,24.13,6.6,34.03,2.1
AKI,2002-10-17 10:38:00,23.98,6.4,33.26,1
AKI,2002-10-17 11:18:00,23.96,6.2,33.23,0.8
KIS,2002-10-17 11:28:00,24.0,6.6,33.36,3.2
OSK,2002-10-17 14:26:00,24.04,7.4,32.88,2.5
AKI,2002-10-17 14:35:00,23.82,6.9,32.99,2.3
OSK,2002-10-17 16:29:00,23.75,11.9,29.01,18
HRS,2002-10-18 09:30:00,23.8,6.3,33.17,1.2
HRS,2002-10-18 10:45:00,23.54,6.6,32.85,0.9
KIS,2002-10-18 10:51:00,23.71,6.9,33.48,1.3
KIS,2002-10-18 12:15:00,24.14,7.2,33.6,2.7
KIS,2002-10-18 13:27:00,24.86,6.7,34.07,1
HRS,2002-10-18 13:40:00,23.51,6.8,32.55,2.2
KIS,2002-10-18 13:40:00,23.29,6.7,33.04,3.5
KIS,2002-10-18 14:21:00,24.38,7.2,33.88,1.3
HRS,2002-10-18 15:05:00,23.85,7.1,32.63,5.7
BS1,2002-10-21 08:35:00,23.31,6.4,32.63,0.1
HRS,2002-10-21 09:45:00,23.33,6.2,32.99,1.2
BS1,2002-10-21 09:58:00,23.18,6.2,32.62,0.1
HRS,2002-10-21 11:20:00,23.62,6.3,33.23,0.6
HRS,2002-10-21 13:15:00,23.66,6.4,33.24,1
BS1,2002-10-21 13:17:00,22.75,6.7,32.66,0.1
HAR,2002-10-21 14:14:00,22.54,8.9,32.08,5.1
BS1,2002-10-21 14:14:00,22.78,7.2,32.68,0.2
HAR,2002-10-21 16:19:00,23.83,6.3,32.72,0.4
HIU,2002-10-22 09:08:00,22.96,10,32.95,3.1
KIS,2002-10-22 09:50:00,24.09,6.4,34.39,0.5
HIU,2002-10-22 10:19:00,23.0,6.2,32.87,1.4
HIU,2002-10-22 10:54:00,22.96,7.2,32.91,0.1
KIS,2002-10-22 11:10:00,23.11,6.8,33.31,2.1
HIU,2002-10-22 11:33:00,23.2,5.8,32.89,1.3
HIU,2002-10-22 12:46:00,23.24,5.8,32.9,1.1
HIU,2002-10-22 13:28:00,23.36,7,32.86,0.1
HAR,2002-10-22 13:50:00,23.6,6.8,32.83,1.3
HIU,2002-10-22 14:10:00,23.43,7,32.85,0.1
HAR,2002-10-22 15:11:00,23.63,6.8,32.81,1.2
HIU,2002-10-22 15:16:00,23.38,7.1,32.79,0.1
HAR,2002-10-22 16:37:00,23.67,6.5,32.7,0.6
HAR,2002-10-23 08:34:00,23.03,6.9,32.74,1.5
HIU,2002-10-23 08:54:00,23.4,6,33.1,1.2
BS1,2002-10-23 09:37:00,22.47,7.1,32.71,0.1
HIU,2002-10-23 10:00:00,23.01,6,32.98,1.7
HAR,2002-10-23 10:09:00,23.03,7,32.71,2.4
HIU,2002-10-23 11:15:00,22.84,6,32.98,2.3
HAR,2002-10-23 11:23:00,23.06,6.9,32.76,1.4
BS1,2002-10-23 11:34:00,22.69,7.7,32.96,0.2
HIU,2002-10-23 13:11:00,23.24,5.9,33.07,1.8
BS1,2002-10-23 14:41:00,23.1,7,32.81,0.1
BS1,2002-10-23 15:41:00,22.63,6.9,32.76,0.1
HAR,2002-10-23 15:51:00,23.1,7.6,32.75,5.1
HAR,2002-10-23 17:13:00,23.12,7.5,32.76,2.1
HAR,2002-10-24 09:26:00,23.01,6.7,32.79,1.5
HAR,2002-10-24 10:17:00,22.26,7,32.25,3.3
HAR,2002-10-24 11:32:00,22.12,8.7,31.93,6.2
BS2,2002-10-24 12:17:00,23.27,7.5,32.67,0.1
BS2,2002-10-24 14:47:00,23.36,7.5,32.61,0.1
HAR,2002-10-24 14:53:00,23.43,6.7,32.77,1.2
BS2,2002-10-24 16:11:00,23.19,7.2,32.56,0.1
HAR,2002-10-24 16:16:00,23.57,7.5,32.84,1.4
BS2,2002-10-25 08:59:00,22.75,6.8,32.59,0.1
BS2,2002-10-25 10:47:00,22.61,8.4,32.3,0.1
BS2,2002-10-25 14:08:00,22.62,9,32.37,0.1
BS2,2002-10-25 15:26:00,22.92,8.4,32.37,0.1
